location_id,company_id,name,address,latitude,longitude,employees
29,6,DataStream Midwest Facility,"606 Server Street, Chicago, IL 60601",41.8781,-87.6298,200
30,6,DataStream Southeast Branch,"707 Cloud Computing Court, Atlanta, GA 30303",33.7490,-84.3880,150
31,7,FutureWave Technologies Main Office,"404 Tomorrow Avenue, Boston, MA 02108",42.3601,-71.0589,400
32,7,FutureWave West Coast Center,"505 Innovation Boulevard, San Francisco, CA 94105",37.7749,-122.4194,250
33,7,FutureWave Midwest Hub,"606 Futuristic Lane, Detroit, MI 48201",42.3314,-83.0458,200
34,7,FutureWave Southern Facility,"707 Next-Gen Road, Houston, TX 77001",29.7604,-95.3698,150
35,7,FutureWave Mountain Research Center,"808 Visionary Drive, Denver, CO 80202",39.7392,-104.9903,100
36,7,FutureWave Prototype Facility,"707 Beta Test Rd, Lowell, MA 01852",42.6334,-71.3162,75
37,8,Vital Health Systems Headquarters,"505 Wellness Way, Los Angeles, CA 90001",34.0522,-118.2437,500
38,8,Vital Health Research Center,"606 Medical Drive, Pasadena, CA 91101",34.1478,-118.1445,300
39,8,Vital Health San Diego Clinic,"707 Healing Blvd, San Diego, CA 92101",32.7157,-117.1611,150
40,8,Vital Health Bay Area Office,"808 Health Tech Ave, San Francisco, CA 94105",37.7749,-122.4194,200
41,8,Vital Health Sacramento Center,"909 Care Street, Sacramento, CA 95814",38.5816,-121.4944,100
42,9,AeroSpace Innovations Main Complex,"606 Skyward Drive, Houston, TX 77002",29.7604,-95.3698,600
43,9,AeroSpace Innovations Launch Site,"707 Rocket Road, Brownsville, TX 78521",25.9018,-97.4975,300
44,9,AeroSpace Innovations R&D Center,"808 Propulsion Lane, Austin, TX 78701",30.2672,-97.7431,250
45,9,AeroSpace Innovations Simulation Facility,"909 Virtual Flight Ave, Dallas, TX 75201",32.7767,-96.7970,150
46,10,OceanTech Research Headquarters,"707 Marine Parkway, Miami, FL 33101",25.7617,-80.1918,350
47,10,OceanTech Diving Center,"808 Coral Reef Rd, Key Largo, FL 33037",25.0865,-80.4473,100
48,10,OceanTech Coastal Lab,"909 Tidal Wave Blvd, Tampa, FL 33602",27.9506,-82.4572,150
49,10,OceanTech Shipyard,"1010 Vessel Lane, Jacksonville, FL 32202",30.3322,-81.6557,200
50,11,MountainPeak Investments HQ,"808 Summit Street, Denver, CO 80202",39.7392,-104.9903,300
51,11,MountainPeak Ski Resort Office,"909 Powder Lane, Aspen, CO 81611",39.1911,-106.8175,100
52,11,MountainPeak Real Estate Office,"1010 Alpine Road, Boulder, CO 80302",40.0150,-105.2705,75
53,11,MountainPeak Eco-Tourism Center,"1111 Wilderness Way, Estes Park, CO 80517",40.3772,-105.5217,50
54,12,UrbanCore Developments Main Office,"909 Metropolitan Ave, Atlanta, GA 30303",33.7490,-84.3880,250
55,12,UrbanCore Southern Branch,"1010 Peachtree Street, Atlanta, GA 30309",33.7815,-84.3855,150
56,12,UrbanCore Design Studio,"1111 Architect Plaza, Savannah, GA 31401",32.0809,-81.0912,75
57,12,UrbanCore Project Site,"1212 Construction Rd, Augusta, GA 30901",33.4735,-81.9748,100
58,13,SolarFlare Energy Headquarters,"1010 Sunburst Boulevard, Phoenix, AZ 85001",33.4484,-112.0740,400
59,13,SolarFlare Solar Farm,"1111 Desert Sun Road, Tucson, AZ 85701",32.2226,-110.9747,150
60,13,SolarFlare Research Center,"1212 Photovoltaic Ave, Tempe, AZ 85281",33.4255,-111.9400,200
61,13,SolarFlare Manufacturing Plant,"1313 Panel Place, Mesa, AZ 85201",33.4152,-111.8315,250
62,14,CyberShield Security Main Office,"1111 Firewall Lane, Washington, DC 20001",38.9072,-77.0369,350
63,14,CyberShield Training Academy,"1212 Encryption Blvd, Arlington, VA 22201",38.8799,-77.1067,150
64,14,CyberShield Research Lab,"1313 Cyber Defense Rd, Bethesda, MD 20814",38.9847,-77.0947,200
65,14,CyberShield Operations Center,"1414 Secure Network Ave, Alexandria, VA 22314",38.8048,-77.0469,100
66,15,HealthNet Systems HQ,"202 Wellness Avenue, San Diego, CA 92101",32.7157,-117.1611,500
67,15,HealthNet R&D Center,"303 Health Drive, San Francisco, CA 94105",37.7749,-122.4194,300
68,15,HealthNet Southern Clinic,"404 Patient Lane, Los Angeles, CA 90001",34.0522,-118.2437,150
69,15,HealthNet Midwest Office,"505 Medical Blvd, Chicago, IL 60601",41.8781,-87.6298,200
70,15,HealthNet East Coast Lab,"606 Care Road, New York, NY 10001",40.7128,-74.0060,250
71,16,RoboTech Industries Main Plant,"1313 Automation Road, Detroit, MI 48201",42.3314,-83.0458,450
72,16,RoboTech Innovation Center,"1414 AI Avenue, Ann Arbor, MI 48104",42.2808,-83.7430,250
73,16,RoboTech Testing Grounds,"1515 Robot Lane, Dearborn, MI 48126",42.3223,-83.1763,150
74,16,RoboTech Design Studio,"1616 Mechatronics Blvd, Grand Rapids, MI 49503",42.9634,-85.6681,100
75,17,AgriGrow Solutions Headquarters,"1414 Harvest Drive, Des Moines, IA 50309",41.5868,-93.6250,300
76,17,AgriGrow Research Farm,"1515 Crop Circle, Ames, IA 50011",42.0308,-93.6319,150
77,17,AgriGrow Seed Development Center,"1616 Genetic Modification Rd, Cedar Rapids, IA 52401",41.9779,-91.6656,200
78,17,AgriGrow Equipment Facility,"1717 Tractor Trail, Davenport, IA 52803",41.5236,-90.5776,100
79,18,NanoMed Pharmaceuticals HQ,"1515 Molecule Street, San Diego, CA 92101",32.7157,-117.1611,400
80,18,NanoMed Research Lab,"1616 Nanoparticle Road, La Jolla, CA 92037",32.8328,-117.2713,250
81,18,NanoMed Production Facility,"1717 Microscopic Lane, Carlsbad, CA 92008",33.1581,-117.3506,300
82,18,NanoMed Clinical Trials Center,"1818 Drug Discovery Drive, Irvine, CA 92612",33.6846,-117.8265,150
83,19,CloudPeak Software Headquarters,"1616 Cumulus Avenue, Seattle, WA 98101",47.6062,-122.3321,500
84,19,CloudPeak Data Center,"1717 Server Lane, Redmond, WA 98052",47.6740,-122.1215,200
85,19,CloudPeak Innovation Hub,"1818 Algorithm Alley, Bellevue, WA 98004",47.6101,-122.2015,250
86,19,CloudPeak Customer Support Center,"1919 Help Desk Highway, Tacoma, WA 98402",47.2529,-122.4443,150
87,20,EconoTrade Financial Headquarters,"1717 Commerce Circle, Charlotte, NC 28202",35.2271,-80.8431,400
88,20,EconoTrade Trading Floor,"1818 Wall Street Way, New York, NY 10005",40.7063,-74.0090,300
89,20,EconoTrade Tech Center,"1919 Fintech Drive, San Francisco, CA 94105",37.7749,-122.4194,250
90,20,EconoTrade Risk Management Office,"2020 Hedge Fund Highway, Chicago, IL 60602",41.8781,-87.6298,150
91,20,EconoTrade Compliance Center,"2121 Regulation Road, Washington, DC 20006",38.9072,-77.0369,100
92,3,Global Connections Houston Branch,"666 Oil Baron Way, Houston, TX 77002",29.7604,-95.3698,175
93,3,Global Connections Denver Office,"777 Mountain High St, Denver, CO 80202",39.7392,-104.9903,125
94,3,Global Connections Boston Hub,"888 Tea Party Rd, Boston, MA 02108",42.3601,-71.0589,200
95,3,Global Connections San Francisco Branch,"999 Golden Gate Ave, San Francisco, CA 94102",37.7749,-122.4194,225
96,4,Quantum Dynamics Cryogenics Lab,"505 Absolute Zero Rd, Champaign, IL 61820",40.1164,-88.2434,75
97,4,Quantum Dynamics Particle Accelerator,"606 Hadron Highway, Warrenville, IL 60555",41.8256,-88.1706,100
98,5,Eco Builders New York Office,"707 Skyscraper St, New York, NY 10001",40.7128,-74.0060,175
99,5,Eco Builders Chicago Branch,"808 Windy City Way, Chicago, IL 60601",41.8781,-87.6298,125
100,6,DataStream Analytics Houston Office,"707 Oil Data Dr, Houston, TX 77002",29.7604,-95.3698,125
101,6,DataStream Analytics San Antonio Branch,"808 Alamo Analytics Ave, San Antonio, TX 78205",29.4241,-98.4936,100
102,7,FutureWave Technologies NY Office,"808 Empire State Plaza, New York, NY 10001",40.7128,-74.0060,175
103,7,FutureWave Technologies West Coast Hub,"909 Silicon Valley Rd, San Jose, CA 95110",37.3382,-121.8863,200
104,8,Vital Health Phoenix Center,"1010 Desert Wellness Way, Phoenix, AZ 85001",33.4484,-112.0740,125
105,8,Vital Health Seattle Clinic,"1111 Rainy Day Health St, Seattle, WA 98101",47.6062,-122.3321,75
